                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  1.193,                 2.4543,                 1.1672,                 1.2559,                0.57005,                0.39312,                0.39519,                0.16527,                0.55201,                0.35759,                0.35987,                0.14164,                 1.7558,                 3.0763,                  1.702,                 1.7403,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.2181,                 2.4484,                  1.151,                 1.2642,                0.46177,                0.46898,                0.38065,                0.15544,                0.44371,                0.43755,                0.36236,                0.14275,                  1.724,                  3.029,                 1.6559,                 1.7033,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.1954,                 2.4444,                 1.1506,                 1.2763,                 0.3632,                0.37414,                0.33894,                0.15462,                0.35273,                0.33808,                0.30274,                0.12231,                 1.7198,                 3.1152,                 1.7187,                 1.7039,               0.000307,               0.000307,               0.000307
                     73,                 1.1984,                 2.4397,                 1.1679,                 1.2656,                0.39865,                 0.3496,                0.32135,                0.14604,                0.38961,                0.30628,                0.29654,                0.11998,                 1.7161,                 3.1398,                 1.6684,                 1.7134,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.2014,                 2.4421,                 1.1611,                 1.2841,                0.37762,                0.37322,                0.33705,                0.15534,                0.58802,                0.34464,                0.30422,                0.11942,                 1.7319,                 3.1449,                 1.6516,                 1.7387,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.1682,                 2.4348,                 1.1332,                 1.2659,                0.38307,                0.42906,                0.34274,                0.14979,                0.36325,                 0.3911,                0.29671,                0.11904,                 1.6999,                 3.1021,                 1.6747,                 1.7047,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.1824,                 2.4102,                 1.1068,                 1.2625,                0.41521,                0.33643,                0.33462,                0.15972,                0.34544,                0.34743,                0.28583,                0.11872,                  1.656,                 3.0989,                 1.6277,                 1.7097,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.1624,                 2.4297,                 1.0938,                 1.2516,                0.37007,                0.40167,                0.32739,                0.15812,                0.33291,                0.35713,                0.29279,                0.12033,                 1.6857,                 3.1669,                 1.7035,                 1.7117,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.1861,                 2.4174,                 1.1015,                 1.2552,                0.41132,                0.37841,                0.34044,                0.16084,                 0.3942,                 0.3564,                0.32249,                0.12401,                 1.6655,                 3.1348,                 1.6681,                 1.6863,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.1498,                 2.4302,                 1.0919,                 1.2404,                0.37575,                 0.4155,                0.32212,                  0.148,                0.47248,                0.40275,                0.33322,                0.11544,                 1.6619,                 3.1243,                 1.6812,                 1.6964,              0.0002377,              0.0002377,              0.0002377
